citation,topic,habitat_type,community_type,ecosystem_characteric,species_name_common,species_name_scientific,marine_ecoregion,climate_effect,effect_likely,effect_demonstrated,mpa_effect,mechanism,mpa effect size,recommended_mpa_action,analytical method,was this study conducted in an MPA?,name of mpa
"Alonso Aller, E., Jiddawi, N. S., & Eklöf, J. S. (2017). Marine protected areas increase temporal stability of community structure, but not density or diversity, of tropical seagrass fish communities. PLoS One, 12(8), e0183999.",habitat,seagrass,fish,density; diversity,na,na,western_indo_pacific,habitat_availability,na,weak,effect_b,na,,more research,observational,yes,Zanzibar (Tanzania)
"Alonso Aller, E., Jiddawi, N. S., & Eklöf, J. S. (2017). Marine protected areas increase temporal stability of community structure, but not density or diversity, of tropical seagrass fish communities. PLoS One, 12(8), e0183999.",habitat,seagrass,fish,community_structure,na,na,western_indo_pacific,habitat_availability,na,weak,effect_b,"effect of seasonality was *not* driven by protection. However, parrotfish, rabbitfish, and two species of damselfish are more abundant in MPAs than in open-access sites, which primarily drove the differences in assemblage structure",,more research,observational,yes,Zanzibar (Tanzania)
"Alonso Aller, E., Jiddawi, N. S., & Eklöf, J. S. (2017). Marine protected areas increase temporal stability of community structure, but not density or diversity, of tropical seagrass fish communities. PLoS One, 12(8), e0183999.",habitat,seagrass,fish,juvenille_desnity,na,na,western_indo_pacific,habitat_availability,na,yes,effect_a,"primarily driven by parrotfish, which recruit to seagrass beds in MPAs. Seagrass provides shelter for juvenille fish",,more research,observational,yes,Zanzibar (Tanzania)
"Alves, C., Valdivia, A., Aronson, R. B., Bood, N., Castillo, K. D., Cox, C., ... & Bruno, J. F. (2022). Twenty years of change in benthic communities across the Belizean Barrier Reef. Plos one, 17(1), e0249155.",habitat,coral reef,benthic,na,na,na,tropical_atlantic,habitat_availability; disease,na,no,no_effect,"""The most likely explanation for why MPAs had no measurable effect on most benthic community components, and in particular no effect on corals, is that they simply are not designed to mitigate the primary agents that are currently responsible for reef degradation [95].""",tbd,emissions reduction; increased MPA enforcement,observational,yes,Belizean Barrier Reef
"Amid, C., Olstedt, M., Gunnarsson, J. S., Le Lan, H., Tran Thi Minh, H., Van den Brink, P. J., ... & Tedengren, M. (2018). Additive effects of the herbicide glyphosate and elevated temperature on the branched coral Acropora formosa in Nha Trang, Vietnam. Environmental Science and Pollution Research, 25, 13360-13372.",species,na,na,na,tropical staghorn coral,Acropora formosa,central_indo_pacific,habitat_availability,na,yes,negative_effect,the corals in the MPA have less resilient symbiotes,tbd,na,experiment,yes,"Nha Trang bay, Vietnam"
"Barnett, L. A., Baskett, M. L., & Botsford, L. W. (2015). Quantifying the potential for marine reserves or harvest reductions to buffer temporal mismatches caused by climate change. Canadian Journal of Fisheries and Aquatic Sciences, 72(3), 376-389.",species,na,na,na,rockfishes,Sebastes spp.,temperate_northern_pacific,reproduction,yes,na,effect_a,marine reserves may improve species persistence under timing mismatches,tbd,na,predictive/theoretical model,no,NA
"Barrientos, S., Barreiro, R., & Piñeiro-Corbeira, C. (2023). Paradoxical failure of Laminaria ochroleuca (Laminariales, Phaeophyceae) to consolidate a kelp forest inside a Marine National Park. European Journal of Phycology, 58(1), 72-82.",species,na,na,na,kelp,Laminaria ochroleuca,temperate_northern_atlantic,habitat_availability,na,yes,negative_effect,increased fish herbiovory within the MPA is preventing kelp from growing to full size,tbd,more research,observational,yes,Islas Atlánticas National Park
"Bates, A. E., Stuart-Smith, R. D., Barrett, N. S., & Edgar, G. J. (2017). Biological interactions both facilitate and resist climate-related functional change in temperate reef communities. Proceedings of the Royal Society B: Biological Sciences, 284(1856), 20170484.",habitat,temperate rocky reef,brown_macroalgal; invertebrate; fish,na,na,na,temperate_autralasia,habitat_availability,na,yes,effect_b,"""find that under warming, some protected macroalgal communities display a lower rate of tropicalization in comparison to fished locations""
protection provides reslience by supporting cool-adapted algae, invertebrates, and fish",tbd,na,observational,yes,Tasmania
"Bates, A. E., Barrett, N. S., Stuart-Smith, R. D., Holbrook, N. J., Thompson, P. A., & Edgar, G. J. (2014). Resilience and signatures of tropicalization in protected reef fish communities. Nature Climate Change, 4(1), 62-67.",habitat,shallow reef,fish,richness,na,na,temperate_autralasia,habitat_availability; range_shift,na,no,no_effect,na,tbd,na,observational,yes,Maria Island Marine Reserve
"Bates, A. E., Barrett, N. S., Stuart-Smith, R. D., Holbrook, N. J., Thompson, P. A., & Edgar, G. J. (2014). Resilience and signatures of tropicalization in protected reef fish communities. Nature Climate Change, 4(1), 62-67.",habitat,shallow reef,fish,diversity,na,na,temperate_autralasia,habitat_availability; range_shift,na,no,no_effect,na,tbd,na,observational,yes,Maria Island Marine Reserve
